leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,chord,twist,cst_code,section_count,total,cst_shape_coefficients_mae,cst_trailing_edge_y_mae,cst_n1_n2_mae,leading_edge_xyz_m_mae,chord_m_mae,chord_m_relative_percent_mean,twist_rad_mae
0,3,3,0,0.011630867373767416,0.023261734747534832,0.012085539288818836,0.019519997760653496,0.011113493703305721,0.19179333746433258,-0.0,0.28285452723503113,0.023360146209597588,0.0006311713950708508,0.01526271365582943,0.0068472037091851234,0.012070655822753906,5.433002471923828,0.003093570005148649
1,4,4,0,0.015715040181147003,0.031430080362294006,0.005179527215659618,0.022063804790377617,0.09057705849409103,0.17657893896102905,-0.0,0.3151174485683441,0.023037539795041084,0.00048745214007794857,0.016506921499967575,0.007295946590602398,0.008779846131801605,4.629258155822754,0.007860340178012848
2,2,2,0,0.009052031305380117,0.0206135861214077,0.003072030609473586,0.026130512356758118,0.0007384770433418453,0.06960225105285645,3.576278118089249e-07,0.11183246970176697,0.014777863398194313,0.00045515462988987565,0.004547573626041412,0.004177171271294355,0.01219087839126587,6.42267370223999,0.0007145071867853403
3,5,5,0,0.044927334563366915,0.08985466912673383,0.014339454472064972,0.05406460911035538,0.03708842769265175,0.41823703050613403,2.3841855067985307e-07,0.5810880661010742,0.03498781472444534,0.0005445827846415341,0.01898675598204136,0.016611039638519287,0.012257526628673077,8.69896411895752,0.005241881590336561
4,4,4,0,0.02623637674784103,0.07097640218416516,0.024061184376478195,0.016128255054354668,0.02270236611366272,0.20096686482429504,1.1920928244535389e-07,0.3601037859916687,0.02336520329117775,0.0009040324948728085,0.012240637093782425,0.012518375180661678,0.003026023507118225,3.4012563228607178,0.004524203948676586
5,5,5,0,0.015560783679685641,0.031121567359371282,0.009815506637096405,0.012134489603340626,0.007441118359565735,0.2828812599182129,1.1920928244535389e-07,0.35153475403785706,0.026541084051132202,0.0008658973383717239,0.016992295160889626,0.007618891540914774,0.0049683512188494205,4.036166667938232,0.002072959439828992
6,4,4,0,0.055360099340346705,0.09694267544095928,0.025117555633187294,0.015493568032979965,0.003745675552636385,0.19377639889717102,-0.0,0.3386034369468689,0.022545140236616135,0.001056581037119031,0.017064779996871948,0.022914422675967216,0.010426919907331467,4.266590595245361,0.0015848572365939617
7,2,2,0,0.053325826193463884,0.1403563808863183,0.022480227053165436,0.00044668896589428186,0.009441728703677654,0.07456526905298233,1.1920928244535389e-07,0.19685518741607666,0.012016171589493752,0.000645633670501411,0.018977396190166473,0.022193677723407745,0.0014190003275871277,0.7437987923622131,0.0028492072597146034
8,8,8,0,0.038109864693692604,0.07621972938738521,0.013159340247511864,0.014943733811378479,0.0007560650119557977,0.37960055470466614,1.1920928244535389e-07,0.4610974192619324,0.032340601086616516,0.0007345699123106897,0.016847679391503334,0.01682962104678154,0.004546372219920158,4.0165910720825195,0.0007204971043393016
9,8,8,0,0.02954232630758573,0.050631470628356635,0.013798017054796219,0.10719877481460571,0.0023641437292099,0.6718064546585083,4.768370445162873e-07,0.8503608703613281,0.045004669576883316,0.0011965646408498287,0.03378775343298912,0.015149582177400589,0.024432441219687462,11.788431167602539,0.0013112074229866266
10,3,3,0,0.014350719286162784,0.03503993040937505,0.00394404074177146,0.06395602971315384,0.016260763630270958,0.16632725298404694,1.9073468138230965e-06,0.2662699818611145,0.022305071353912354,0.0005194508703425527,0.011973719112575054,0.008629915304481983,0.01810791715979576,9.276700973510742,0.0037264153361320496
11,2,2,0,0.020571909623239376,0.04114381924647875,0.0031834552064538,0.0063599469140172005,0.002776574110612273,0.03780064359307289,-0.0,0.06285443902015686,0.010523682460188866,0.0004589558229781687,0.006406232714653015,0.008533764630556107,0.004086941480636597,2.6931915283203125,0.0015748488949611783
