leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,size,section_count,total,station_x_m_mae,center_yz_m_mae,width_m_mae,width_m_relative_percent_mean,height_m_mae,height_m_relative_percent_mean,length_m_mae,length_m_relative_percent_mean
0,6,6,0,0.01930684170846289,0.029571769157803473,0.0029410391580313444,0.007684964220970869,3.4570634852570947e-06,0.010632917284965515,0.018514685332775116,0.0014606525655835867,0.004104624502360821,3.134969711303711,0.0028227611910551786,3.327451705932617,0.037411391735076904,5.7302021980285645
1,6,6,0,0.0037549928094951363,0.006195987788991182,0.000895403150934726,0.002386790933087468,2.7418097943154862e-06,0.003287677653133869,0.002438100054860115,0.0014426035340875387,0.001375970197841525,1.9882724285125732,0.0011721260379999876,1.2637702226638794,0.000268399715423584,0.04428773745894432
2,4,4,0,0.005677132781723875,0.005780866944757107,6.853655213490129e-05,0.0009293209877796471,1.4305104514278355e-06,0.0010007185628637671,0.0048546865582466125,0.0011908392189070582,0.0008803196251392365,1.2109699249267578,0.0007342426106333733,1.0764719247817993,0.008561372756958008,0.8717808723449707
3,8,8,0,0.020673739712877094,0.02173617775805033,0.0017999010160565376,0.02268102765083313,4.768370445162873e-07,0.0244818814098835,0.019601598381996155,0.001057332381606102,0.005293285008519888,5.054463863372803,0.008116006851196289,5.819199562072754,0.032606422901153564,3.428209066390991
4,7,7,0,0.04867545224677953,0.0540519884772578,0.005095398984849453,0.010330244898796082,1.6689286894688848e-06,0.015428981743752956,0.04810425266623497,0.0011480271350592375,0.002697406802326441,3.6348750591278076,0.0039933715015649796,3.655763626098633,0.09614914655685425,10.676947593688965
5,3,3,0,0.012489683222465632,0.013505704526400953,0.0002266999799758196,0.0018048235215246677,2.0265558760002023e-06,0.002035576617345214,0.012161821126937866,0.0006412127986550331,0.0019472676794975996,1.442647933959961,0.0015413861256092787,1.912973403930664,0.02279949188232422,2.4654204845428467
6,7,7,0,0.015951995962462828,0.016437831131531893,0.0010266390163451433,0.011446014046669006,9.894321920000948e-06,0.012492441572248936,0.015010492876172066,0.0010775362607091665,0.003211901756003499,4.436055660247803,0.003009489271789789,2.60343074798584,0.026192426681518555,2.69901442527771
7,7,7,0,0.0029512195898780194,0.003224874238991007,0.00031928723910823464,0.0011284732026979327,3.933898824470816e-06,0.0014556283131241798,0.0013675562804564834,0.0013336010742932558,0.0014961448032408953,1.4019309282302856,0.0018566602375358343,1.2079542875289917,0.0003510713577270508,0.03836247697472572
8,7,7,0,0.016826765466352155,0.01758154224563371,0.0017849337309598923,0.003297687042504549,2.622600959512056e-06,0.005087865982204676,0.01632334105670452,0.0010732056107372046,0.0021142002660781145,1.8780585527420044,0.002305690897628665,1.676006555557251,0.024418532848358154,2.551384449005127
9,7,7,0,0.050594199918963544,0.05303734480108783,0.017468633130192757,0.029029008001089096,1.1920858014491387e-05,0.04652148485183716,0.04997699707746506,0.0008714103605598211,0.006031522527337074,7.326295375823975,0.006831154227256775,5.185221195220947,0.07782518863677979,8.158329010009766
10,3,3,0,0.00395282188040469,0.00410500635812907,7.385056960629299e-05,0.0006913485121913254,1.7881377516459906e-06,0.0007687753532081842,0.003496925113722682,0.0006176253664307296,0.0005166791379451752,0.45823320746421814,0.0013179730158299208,1.2517493963241577,0.008488059043884277,0.881485104560852
11,8,8,0,0.021228734693976098,0.021985906622094566,0.0012669116258621216,0.009960303083062172,1.5497195136049413e-06,0.011230314150452614,0.02031608670949936,0.0011596155818551779,0.004967379383742809,3.6251449584960938,0.0045308503322303295,4.016910076141357,0.034565091133117676,3.5797934532165527
12,6,6,0,0.029519241895385278,0.030386901091136898,0.0037132911384105682,0.010589275509119034,2.288792165927589e-05,0.014348342083394527,0.028580471873283386,0.0019536814652383327,0.003110673278570175,3.3620307445526123,0.004288496449589729,3.560533285140991,0.03276127576828003,3.372422695159912
13,3,3,0,0.01487556799950592,0.015994613067791413,0.00035279590520076454,0.0009454048122279346,1.7881377516459906e-06,0.0013017769670113921,0.014441261999309063,0.0007385560311377048,0.0003601883945520967,0.622414767742157,0.0012733663897961378,1.7083075046539307,0.025912225246429443,2.7861526012420654
14,3,3,0,0.005847220890840246,0.006889284306206098,0.00020043626136612147,0.0007360382587648928,4.0531076592742465e-06,0.0009445807663723826,0.005385716911405325,0.000688194006215781,0.0007999514928087592,0.7401883006095886,0.0007785521447658539,1.114977240562439,0.012977123260498047,1.5289843082427979
15,7,7,0,0.02739780492286925,0.032642291513199674,0.0038139973767101765,0.010911631397902966,3.099436753473128e-06,0.01473182812333107,0.026269542053341866,0.0011210819939151406,0.006044966168701649,5.3612284660339355,0.0014266393845900893,1.171764850616455,0.04915487766265869,5.856410026550293
16,3,3,0,0.006998048944706834,0.008403169282504825,7.686667231610045e-05,0.0004591371398419142,1.5497195136049413e-06,0.0005391032318584621,0.0065292418003082275,0.0007780312444083393,0.00020145750022493303,0.3784428536891937,0.000810877769254148,1.0998430252075195,0.010921180248260498,1.311401605606079
17,8,8,0,0.019257818046526383,0.0205272513661496,0.008236214518547058,0.015427559614181519,4.768370445162873e-07,0.023664727807044983,0.01840541884303093,0.0012255352921783924,0.004486306104809046,3.2828357219696045,0.0053349994122982025,4.701501846313477,0.01838982105255127,1.960203766822815
18,2,2,0,0.0046119533812603985,0.005099111821242105,2.3119791876524687e-05,1.6138081264216453e-05,1.9073468138230965e-06,4.307256676838733e-05,0.0041675865650177,0.0006190677522681653,5.165860056877136e-05,0.1280440241098404,0.00012340769171714783,0.17766112089157104,0.0083351731300354,0.9215613603591919
19,7,7,0,0.01447471877228266,0.015931730192613246,0.0017812760779634118,0.005539365112781525,1.3470558769768104e-05,0.007347582373768091,0.013783901929855347,0.0010856002336367965,0.004318410996347666,3.392712354660034,0.002755430294200778,2.0419857501983643,0.02347123622894287,2.5833828449249268
20,4,4,0,0.007876702709764039,0.00971011590709505,0.0010975778568536043,0.004878632724285126,1.4305104514278355e-06,0.005979071371257305,0.0068905167281627655,0.0012694570468738675,0.0011576367542147636,2.2420732975006104,0.004117930307984352,3.007481098175049,0.004764378070831299,0.5873354077339172
21,7,7,0,0.005698611774597984,0.0060716529942045705,0.0029269529040902853,0.015401488170027733,2.0265558760002023e-06,0.01833249442279339,0.004024538677185774,0.001110100420191884,0.0037207482382655144,4.577680587768555,0.004464020486921072,4.241140842437744,0.004464566707611084,0.4756825268268585
22,5,5,0,0.03207229672410171,0.03290915374432501,0.002379185054451227,0.0036603317130357027,1.9073468138230965e-06,0.0060433316975831985,0.03153881058096886,0.0018088434590026736,0.001697713858447969,1.7817203998565674,0.003465662943199277,2.88299560546875,0.0653390884399414,6.704397201538086
23,6,6,0,0.00919584836647025,0.009206325454677623,0.0009363943245261908,0.002699953271076083,4.529942543740617e-06,0.0036454075016081333,0.008378039114177227,0.0018718477804213762,0.0018947137286886573,1.8955343961715698,0.001469747512601316,1.6076667308807373,0.012583434581756592,1.2597770690917969
24,2,2,0,0.0019518115680296289,0.002389048177692658,2.292167664563749e-06,0.00024790625320747495,1.9073468138230965e-06,0.0002540131099522114,0.0010024607181549072,0.0010155538329854608,0.00035304389894008636,0.5900952816009521,0.00034030526876449585,0.6313760876655579,0.0020049214363098145,0.24540555477142334
25,2,2,0,0.0033025533205882163,0.0035625672694413442,8.524140866938978e-06,8.342081855516881e-05,1.7881377516459906e-06,9.552123810863122e-05,0.0025093555450439453,0.0009990085382014513,0.00023815035820007324,0.42577293515205383,0.00018998980522155762,0.286016583442688,0.005018711090087891,0.5413840413093567
26,7,7,0,0.009290897053107264,0.009745470309993908,0.0026212905067950487,0.017867354676127434,4.6491513785440475e-06,0.020497944205999374,0.007492417003959417,0.0011411013547331095,0.004400278441607952,3.873934268951416,0.00603535957634449,6.133702278137207,0.007310271263122559,0.7667939066886902
27,3,3,0,0.00321875808569203,0.004214768357057788,5.8651919971453026e-05,0.0008101784042082727,3.933898824470816e-06,0.0008766981191001832,0.002615898847579956,0.0007635249057784677,0.0006582054193131626,1.3512988090515137,0.0008183221216313541,0.7730057239532471,0.006591141223907471,0.8630699515342712
28,7,7,0,0.012423464060867325,0.013303318536394573,0.0021762719843536615,0.012346799485385418,5.245195097813848e-06,0.014533561654388905,0.011296365410089493,0.0009167951066046953,0.0018751324387267232,1.8203517198562622,0.006725810933858156,4.880685329437256,0.008999168872833252,0.9636508226394653
29,7,7,0,0.030418983337383586,0.0556086468363708,0.006785502191632986,0.0332525335252285,6.794906312279636e-06,0.040051624178886414,0.0293324775993824,0.0010473752627149224,0.006343339569866657,8.078224182128906,0.005525635089725256,4.052253246307373,0.04220890998840332,7.716169834136963
30,3,3,0,0.0053929879120163575,0.006434546425463772,5.242257975623943e-05,0.0006494785193353891,2.264974000354414e-06,0.0007064310484565794,0.005026131868362427,0.0006684918771497905,0.0005088175530545413,0.5998920798301697,0.0010337606072425842,1.086985468864441,0.009172320365905762,1.09437894821167
31,2,2,0,0.021954608320845566,0.02330813840726281,0.00058891368098557,0.0006761403637938201,5.960446742392378e-06,0.0012769750319421291,0.021624624729156494,0.00038313213735818863,0.0001827441155910492,0.5066723823547363,0.0012153834104537964,1.2762188911437988,0.04324924945831299,4.591562271118164
32,5,5,0,0.009845793032044378,0.011326174594982436,0.0003638525085989386,0.0007979815709404647,2.0265558760002023e-06,0.0011658872244879603,0.00891195423901081,0.0015431070933118463,0.0008977897814475,1.1954001188278198,0.0011534750228747725,0.9495142102241516,0.01653611660003662,1.9022433757781982
33,3,3,0,0.009120265324091959,0.01319237637887515,0.0002678366145119071,0.0022373555693775415,3.099436753473128e-06,0.0025113909505307674,0.008761088363826275,0.0006143795908428729,0.0015268500428646803,1.5342779159545898,0.002207654295489192,2.0223145484924316,0.01722496747970581,2.491575002670288
34,5,5,0,0.019422511003585368,0.0221720473598901,0.0011523282155394554,0.002826665062457323,5.006777428206988e-06,0.003989006858319044,0.018838459625840187,0.0019024902721866965,0.0027213289868086576,2.4191741943359375,0.0014305561780929565,1.4737497568130493,0.034974634647369385,3.992579936981201
35,5,5,0,0.00494463823461412,0.0059666997188797515,0.00034725834848359227,0.001387348398566246,2.50339189733495e-06,0.0017396134790033102,0.0034236626233905554,0.0019493214786052704,0.00131999549921602,1.6627591848373413,0.001336729503236711,0.963005542755127,0.005174040794372559,0.624351978302002
36,5,5,0,0.016252331579730987,0.01861684711890136,0.0006010382785461843,0.0026581031270325184,3.2186455882765586e-06,0.003265578765422106,0.015216857194900513,0.0016683967551216483,0.0031667992006987333,2.832550048828125,0.0007598035153932869,1.0662425756454468,0.035202205181121826,4.032369613647461
37,7,7,0,0.013945075350124115,0.020426823423255244,0.006539568770676851,0.009652967564761639,3.4570634852570947e-06,0.016199450939893723,0.01351830456405878,0.0010462525533512235,0.0031017805449664593,2.954383134841919,0.0032069727312773466,4.0123610496521,0.008642971515655518,1.2660272121429443
38,7,7,0,0.015318506910394018,0.015605635938820108,0.003225797088816762,0.00621735630556941,2.861018856492592e-06,0.009448875673115253,0.014630320481956005,0.0012650403659790754,0.003118249587714672,2.645301342010498,0.0031136285979300737,3.0083489418029785,0.008190333843231201,0.8343852758407593
39,3,3,0,0.01073009082617902,0.012011169314091907,0.0004806565120816231,0.0023614498786628246,2.50339189733495e-06,0.0028471131809055805,0.01010369323194027,0.0007989990408532321,0.0018421299755573273,2.1829335689544678,0.002015871461480856,1.6861404180526733,0.009774506092071533,1.0941495895385742
40,8,8,0,0.01426779611626371,0.022906023131148638,0.0145491361618042,0.031219635158777237,1.1444026313256472e-05,0.045791659504175186,0.01349649578332901,0.0008658050210215151,0.004573573358356953,6.342068195343018,0.005419721826910973,6.333373069763184,0.025515437126159668,4.096338272094727
41,3,3,0,0.0066949892992481455,0.008006072918651122,0.00018783833365887403,0.001150029944255948,4.172316494077677e-06,0.0013462129281833768,0.0062465667724609375,0.0007079619681462646,0.0012781918048858643,1.317842721939087,0.0005992663791403174,1.0508661270141602,0.01637279987335205,1.9579094648361206
42,7,7,0,0.04309880845513274,0.05348745072690613,0.0054326183162629604,0.0039444779977202415,1.7046782886609435e-05,0.009411189705133438,0.042708177119493484,0.001188291935250163,0.0018240022473037243,2.372143507003784,0.0034547182731330395,2.388087749481201,0.07190191745758057,8.923333168029785
