leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,chord,twist,cst_code,section_count,total,cst_shape_coefficients_mae,cst_trailing_edge_y_mae,cst_n1_n2_mae,leading_edge_xyz_m_mae,chord_m_mae,chord_m_relative_percent_mean,twist_rad_mae
0,3,3,0,0.009068064237233291,0.018136128474466582,0.007481935899704695,0.017574643716216087,0.003191563533619046,0.18051445484161377,-0.0,0.2386903464794159,0.021257683634757996,0.0004003776120953262,0.015148411504924297,0.0056978678330779076,0.011611437425017357,5.19084358215332,0.0016036592423915863
1,4,4,0,0.01563186567547055,0.0312637313509411,0.004263554699718952,0.01965142972767353,0.03928619250655174,0.2292012870311737,-0.0,0.3094566762447357,0.024099573493003845,0.0004385750216897577,0.025496836751699448,0.007396734785288572,0.008014623075723648,4.19486141204834,0.005229718051850796
2,2,2,0,0.007871352648933511,0.01792490549876065,0.0015219341730698943,0.01893404871225357,0.0019448701059445739,0.06916771829128265,3.576278118089249e-07,0.09765738248825073,0.014267533086240292,0.0005437252693809569,0.006002567708492279,0.0037367779295891523,0.010711178183555603,5.569519996643066,0.0010890590492635965
3,5,5,0,0.03312332800866543,0.06624665601733086,0.012072684243321419,0.020244400948286057,0.019885504618287086,0.3493790030479431,2.3841855067985307e-07,0.44987303018569946,0.03280741721391678,0.0006791182095184922,0.014122790656983852,0.014431674033403397,0.007988869212567806,5.361512660980225,0.0031000596936792135
4,4,4,0,0.031220347241825805,0.0844593727046348,0.014113369397819042,0.013290395960211754,0.009906036779284477,0.22093519568443298,1.1920928244535389e-07,0.31469884514808655,0.025356292724609375,0.0006345518631860614,0.018852941691875458,0.013568563386797905,0.003342835232615471,3.5700697898864746,0.0027984827756881714
5,5,5,0,0.017088344320484134,0.03417668864096827,0.0053482563234865665,0.005540933459997177,0.007543967571109533,0.21984167397022247,1.1920928244535389e-07,0.2596682012081146,0.023041635751724243,0.0007661189301870763,0.01662731170654297,0.007851535454392433,0.0034389018546789885,2.653113603591919,0.002383468672633171
6,4,4,0,0.04746346554318038,0.08311465099019946,0.022236865013837814,0.006249601952731609,0.0018117594299837947,0.1833084523677826,-0.0,0.3025541305541992,0.02255106344819069,0.0008401249069720507,0.012362927198410034,0.018658455461263657,0.0072288066148757935,2.896617889404297,0.001184880267828703
7,2,2,0,0.04617361443240591,0.12153138313620934,0.019643831998109818,0.006106979213654995,0.0171283558011055,0.07166510820388794,1.1920928244535389e-07,0.19311995804309845,0.012008375488221645,0.0006669684080407023,0.018572747707366943,0.019233934581279755,0.004526175558567047,2.426057815551758,0.004014318808913231
8,8,8,0,0.024753474043897043,0.049506948087794087,0.008282721042633057,0.012714363634586334,0.004805064760148525,0.3666694462299347,1.1920928244535389e-07,0.42560285329818726,0.03274867683649063,0.001066715456545353,0.018731238320469856,0.011709275655448437,0.004404355771839619,3.998216152191162,0.00173923559486866
9,8,8,0,0.025397379344886877,0.043527603511971324,0.007803633343428373,0.03721703961491585,0.0072758253663778305,0.6688464879989624,4.768370445162873e-07,0.7523589730262756,0.04702533408999443,0.0010683995205909014,0.03496071696281433,0.011358904652297497,0.014655418694019318,6.7709431648254395,0.0021092607639729977
10,3,3,0,0.010428627464420408,0.025463419173067603,0.001957448897883296,0.0367615707218647,0.008531254716217518,0.12206815928220749,1.9073468138230965e-06,0.17715394496917725,0.01766820065677166,0.00047760416055098176,0.011539757251739502,0.006058225408196449,0.013882875442504883,7.10794734954834,0.0027187771629542112
